Marca temporal,Grupo que está encuestando,Nombre del encuestador,Indica tu género,¿Cuál es tu edad?,¿Cuál es tu peso (en kg)?,¿Cuál es tu estatura (en cm)?,¿En qué carrera estabas matriculado(a) durante el ciclo 2025-2? ,¿En qué ciclo te encuentras actualmente?,¿En cuántos cursos te matriculaste (independientemente de si te retiraste o no) en total durante el 2025-2?,¿Cuántos de esos cursos aprobaste al finalizar el 2025-2?,"¿Cuál fue tu promedio ponderado en el ciclo 2025-2?
Lo puedes ubicar en el sist. académico -> currícula -> mi avance académico -> historial académico","¿Cuál fue tu Ranking en el ciclo 2025-2?
Lo puedes ubicar en el sist. académico -> currícula -> mi avance académico -> historial académico","Aproximadamente, Durante el ciclo 2025-2  ¿Cuántas horas a la semana dedicaste a realizar actividad física?",Durante el ciclo 2025-2  ¿Qué tipo de actividad física o deporte principal realizaste?,¿Dónde realizas principalmente la actividad física?,"Durante el ciclo 2025-2, ¿tus entrenamientos fueron principalmente de tipo individual o colectivo? ",¿Cuántos días a la semana realizaste actividad física en el 2025-2?,"Durante tus sesiones de actividad física en ese ciclo, ¿Cuál fue tu nivel de intensidad física predominante?","Durante el 2025-2, ¿Tu horario de entrenamiento fue principalmente en la: Mañana / Tarde / Noche?",Durante el ciclo 2025-2  ¿Cómo calificarías tu nivel de disciplina o constancia para realizar actividad física?,Durante el ciclo 2025-2  ¿Cuántas horas a la semana sumaban tus clases programadas?,"Aproximadamente, durante el ciclo 2025-2  ¿Cuántas horas a la semana dedicaste al estudio autónomo y realización de tareas (fuera del horario de clases)?","Durante el 2025-II, ¿cuál fue tu nivel de concentración al estudiar?",¿Qué suplementos dietéticos consumías de forma regular? (marca todas las opciones que correspondan)  ,"Durante el ciclo 2025-2, ¿cuántas veces al día ingerías alimentos? (incluye comidas principales y snacks; p. ej., desayuno, snack, almuerzo, cena = 4)  ",Durante el ciclo 2025-2 ¿Llevaste algún tipo de alimentación o dieta específica? ,"Durante el ciclo 2025-2, ¿cuántas horas dormías por noche en promedio?  ",¿Cómo calificarías tu calidad de sueño durante el periodo 2025-2?,Durante el periodo 2025-2  ¿Cómo describirías tu nivel de estrés académico?,Durante el ciclo 2025-2  ¿Qué tan cansado te llegaste a sentir?
22/4/2026 11:43:54,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,20,60,169,Ingeniería Mecatrónica,7,6,6,13,Tercio,10,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",30,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,5,Mala,Moderado,Alto
22/4/2026 11:44:09,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,19,63,169,Ingeniería Industrial,5,6,6,15.62,Tercio,8,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,25,8,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas rehidratantes,4,Ninguna en especial,6,Buena,Bajo,Alto
22/4/2026 11:47:06,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,20,80,1.72,Ingeniería Mecatrónica,5,6,6,13.84,Tercio medio,0,No realizo actividad fisica,,,,,,,19,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,4,Mala,Alto,Moderado
22/4/2026 11:47:21,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,23,99,171,Ingeniería Mecatrónica,10,6,6,18.25,Quinto,10,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En casa,Individual,10,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",25,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,6,Buena,Alto,Moderado
22/4/2026 11:47:32,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,19,66,162,Ciencias de la Computación,5,6,6,16.6,Quinto,3,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",28,4,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,6,Mala,Moderado,Moderado
22/4/2026 11:48:07,Grupo 2,"Rojas Meza, Kiara Luz",Masculino,19,71,175,Ingeniería Industrial,3,6,5,15,Quinto,1,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En casa,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",23,7,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Bebidas rehidratantes",4,Ninguna en especial,4,Muy mala,Moderado,Muy alto
22/4/2026 11:49:52,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,22,63,173,Ingeniería Mecatrónica,10,5,5,17.5,Quinto,4,Surf,Otros,Individual,5,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",20,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,4,Ninguna en especial,7,Buena,Moderado,Moderado
22/4/2026 11:49:56,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,20,80,170,Ingeniería Mecatrónica,5,3,3,15,Tercio medio,6,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,3,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",24,16,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas rehidratantes,3,Ninguna en especial,7,Regular,Alto,Alto
22/4/2026 11:51:31,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,20,57,168,Ciencias de la Computación,6,6,5,14.83,Tercio medio,2,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,2,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",29,30,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,6,Regular,Moderado,Moderado
22/4/2026 11:51:59,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,19,51,1.72,Ciencia de Datos,5,5,4,16,Quinto,0,No realizo actividad fisica,,,,,,,20,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,3,Ninguna en especial,9,Regular,Moderado,Moderado
22/4/2026 11:54:51,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,19,80,167,Ingeniería Industrial,5,6,6,13.69,Tercio medio,6,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",23,10,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,"Bebidas energéticas, Multivitamínicos y Minerales, Creatina",6,Ninguna en especial,6,Regular,Moderado,Moderado
22/4/2026 11:55:45,Grupo 8,"Ferrante Quino, Francesco Aroldo",Femenino,18,62,164,Ingeniería Mecatrónica,3,6,6,14.63,Tercio,0,No realizo actividad fisica,,,,,,,23,10,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Bebidas energéticas,4,Ninguna en especial,5,Regular,Moderado,Moderado
22/4/2026 11:55:48,Grupo 7,"Sanchez Romero, Luis Fabian",Masculino,18,55,170,Ciencias de la Computación,3,6,6,19.15,Décimo,4,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En instalaciones de la universidad,Colectiva,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",25,3,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Ninguno,4,Ninguna en especial,7,Regular,Bajo,Moderado
22/4/2026 11:58:49,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,18,70,1.63,Ingeniería Química,2,5,5,15,Quinto,4,P,En casa,Individual,2,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",40,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,5,Muy mala,Moderado,Moderado
22/4/2026 12:01:16,Grupo 5,"Cabanillas Ventocilla, Abigail Jaslin",Masculino,19,71.1,166,Ciencias de la Computación,3,5,4,12.44,Tercio medio,2,Artes marciales / Deportes de contacto,En instalaciones de la universidad,Colectiva,1,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,42,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Bebidas rehidratantes",2,Ninguna en especial,3.5,Mala,Muy alto,Muy alto
22/4/2026 12:02:26,Grupo 3,"De la Cuba Palacios, Fabrizzio Alexander",Femenino,18,57,157,Ingeniería Industrial,3,6,6,16.42,Tercio,4,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En casa,Individual,2,Alto: Me faltaba el aliento rápido y apenas podía decir unas pocas palabras sin parar a tomar aire.,Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",23,4,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Proteína en polvo (Whey, Vegana, Caseína)",5,Alta en proteínas,6,Regular,Alto,Muy alto
22/4/2026 12:05:21,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Femenino,21,55,1.55,Ingeniería Mecatrónica,4,5,4,13,Tercio inferior,1,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,10,6,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,6,Regular,Moderado,Moderado
22/4/2026 12:05:52,Grupo 9,"Heredia Quispe, Gianella Alessandra",Masculino,19,90,175,Ingeniería Electrónica,2,6,6,16,Décimo,4,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,4,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",20,5,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,5,Mala,Moderado,Moderado
22/4/2026 12:08:12,Grupo 4,"Solis Cordova, Pedro Nicolas",Masculino,17,108,190,Ingeniería Industrial,3,6,6,14,Tercio medio,6,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En instalaciones de la universidad,Colectiva,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",40,6,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Ninguno,4,Ninguna en especial,7,Buena,Moderado,Moderado
22/4/2026 12:08:39,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,18,94,178,Ingeniería Electrónica,2,6,6,15.9,Décimo,2,Gimnasio / Levantamiento de pesas,En gimnasio,Individual,6,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,1,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Bebidas rehidratantes,4,Ninguna en especial,7,Mala,Muy alto,Muy alto
22/4/2026 12:09:09,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,21,78,1.7,Ingeniería Mecatrónica,5,5,3,18,Tercio medio,1,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,1,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",18,4,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,2,Ninguna en especial,6,Regular,Muy alto,Muy alto
22/4/2026 12:09:16,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,18,83,1.77,Ciencias de la Computación,2,6,6,18.75,Décimo,2,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,1,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",40,10,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Ninguno,4,Ninguna en especial,8,Buena,Moderado,Alto
22/4/2026 12:11:27,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Femenino,18,56,160,Ingeniería Electrónica,2,5,5,16,Quinto,2,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,1,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",22,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Alta en hierro,6,Muy mala,Moderado,Muy bajo
22/4/2026 12:12:22,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,18,80,1.77,Ingeniería Mecatrónica,2,7,7,17.5,Décimo,10,Gimnasio / Levantamiento de pesas,En casa,Individual,5,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Tarde,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,28,3,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,6,Regular,Bajo,Bajo
22/4/2026 12:15:02,Grupo 5,"Cabanillas Ventocilla, Abigail Jaslin",Femenino,18,46,1.48,Administración y Negocios Digitales,5,7,7,15.48,Tercio,0,No realizo actividad fisica,,,,,,,20,2,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,,6,Regular,Alto,Moderado
22/4/2026 12:18:28,Grupo 9,"Lam Nishiyama, Gustavo Antonio Leng",Masculino,18,55,1.68,Ingeniería Electrónica,2,7,7,16.15,Quinto,5,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,5,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Tarde,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,35,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,8,Buena,Moderado,Moderado
22/4/2026 12:24:31,Grupo 5,"Reyes Neyra, Mariel Azucena",Masculino,19,63,157,Ingeniería Química,3,5,4,14.79,Tercio medio,14,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,6,Alto: Me faltaba el aliento rápido y apenas podía decir unas pocas palabras sin parar a tomar aire.,Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",17,101,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,"Ninguno, Agua y cafe",3,Baja en carbohidratos,5,Muy mala,Muy alto,Muy alto
22/4/2026 12:29:10,Grupo 6,"Carrasco Abarca, Franco Luciano Marcelo",Masculino,18,64,165,Ingeniería Mecatrónica,3,6,4,11.05,Tercio inferior,0,No realizo actividad fisica,,,,,,,25,5,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,2,Ninguna en especial,6,Regular,Alto,Alto
22/4/2026 12:38:17,Grupo 1,"Ormachea Mamani, Gabriel",Masculino,18,60,186,Ingeniería Mecánica,2,6,3,15,Tercio,2,Gimnasio / Levantamiento de pesas,En casa,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,10,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Ninguno,4,Ninguna en especial,5,Muy mala,Muy alto,Muy alto
22/4/2026 12:40:38,Grupo 2,"Rojas Meza, Kiara Luz",Femenino,22,70,163,Ingeniería Industrial,5,4,4,13,Tercio inferior,1,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,1,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",20,10,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Multivitamínicos y Minerales,2,Ninguna en especial,7,Mala,Alto,Muy alto
22/4/2026 12:51:07,Grupo 6,Ortiz Palomino Renzo Adriano,Masculino,22,81,1.76,Ingeniería Mecatrónica,9,5,5,15.78,Tercio,8,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)",En gimnasio,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",20,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Creatina",3,Alta en proteínas,9,Muy buena,Alto,Muy alto
22/4/2026 12:57:26,Grupo 4,"Cueva Loayza, Dayron Saiyuk",Femenino,19,50,1.55,Bioingeniería,5,6,5,13,Tercio inferior,0,No realizo actividad fisica,,,,,,,20,5,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Multivitamínicos y Minerales",4,Ninguna en especial,7,Regular,Alto,Muy alto
22/4/2026 12:57:46,Grupo 5,"Cabanillas Ventocilla, Abigail Jaslin",Masculino,21,61,167,Ciencia de Datos,7,4,3,14.3,Tercio inferior,3,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,1,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",20,12,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,"Bebidas energéticas, Bebidas rehidratantes",4,Ninguna en especial,6,Mala,Moderado,Alto
22/4/2026 13:01:12,Grupo 6,Ortiz Palomino Renzo Adriano,Masculino,21,81,1.74,Ingeniería Industrial,3,3,3,15,Tercio,6,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,3,Bajo: Podía mantener una conversación larga o cantar sin ningún esfuerzo,Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",8,10,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Proteína en polvo (Whey, Vegana, Caseína), Creatina",3,Ninguna en especial,6,Regular,Moderado,Alto
22/4/2026 13:23:00,Grupo 9,"Chipana Ybañez, Josué Manuel",Femenino,20,60,1.58,Ingeniería Industrial,2,7,4,5,Tercio inferior,0,No realizo actividad fisica,,,,,,,48,12,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Baja en carbohidratos,6,Regular,Alto,Alto
22/4/2026 13:28:17,Grupo 3,"De la Cuba Palacios, Fabrizzio Alexander",Femenino,18,56,160,Bioingeniería,5,5,5,18.17,Décimo,2,Caminata,"En espacios públicos (parques, canchas, piscinas, etc.)",Individual,4,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",14,4,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,"Bebidas energéticas, Multivitamínicos y Minerales",3,Ninguna en especial,8,Muy buena,Moderado,Alto
22/4/2026 13:29:27,Grupo 1,"Canepa Noya, Doménico",Masculino,18,62,181,Ingeniería Mecatrónica,3,6,5,13.2,Tercio medio,7,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,6,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",15,01,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.","Bebidas energéticas, Bebidas rehidratantes, Multivitamínicos y Minerales, Proteína en polvo (Whey, Vegana, Caseína)",4,Ninguna en especial,6,Mala,Bajo,Moderado
22/4/2026 13:34:24,Grupo 5,"Arica Reyes, Ady Gabriela",Masculino,22,60,170,Ingeniería Civil,10,4,4,16.75,Décimo,1,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,1,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",12,8,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,Ninguno,4,Ninguna en especial,6,Mala,Bajo,Moderado
22/4/2026 13:41:13,Grupo 5,"Arica Reyes, Ady Gabriela",Femenino,20,50,1.57,Ingeniería Civil,8,6,6,17.5,Quinto,1,No realizo actividad fisica,,,,,,,4,4,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,8,Buena,Moderado,Moderado
22/4/2026 13:41:32,Grupo 5,"Arica Reyes, Ady Gabriela",Masculino,26,56.5,170,Ingeniería Civil,Más de 10,3,3,13,Tercio inferior,1,"Deportes de equipo (Fútbol, Básquet, Vóley, etc.)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",9,2,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,6,Regular,Moderado,Alto
22/4/2026 13:43:16,Grupo 8,"Huertos Ochoa, Rodrigo Franco",Femenino,18,40,150,Ciencias de la Computación,3,6,6,15.6,Tercio,3,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",75,20,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Bebidas energéticas,4,Ninguna en especial,5,Mala,Alto,Alto
22/4/2026 13:47:25,Grupo 8,"Castillo Castro, Rafael Adrián",Prefiero no decirlo / Otro,29,99,160,Ingeniería Civil,Más de 10,7,8,19.8,Décimo,0.1,No realizo actividad fisica,,,,,,,2,0.1,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,"Bebidas energéticas, Bebidas rehidratantes, Multivitamínicos y Minerales, Polvos Pre-Entreno, Proteína en polvo (Whey, Vegana, Caseína), Mass gainers, Creatina, Ninguno, Creatina",8,Baja en proteínas,25,Muy buena,Muy bajo,Muy bajo
22/4/2026 13:48:22,Grupo 5,"Arica Reyes, Ady Gabriela",Femenino,22,55,157,Ingeniería Ambiental,10,4,4,18,Décimo,6,Fútbol y pilates ,Otros,Individual,3,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,Alta: Mantuve mi rutina de manera estricta y constante todo el ciclo.,15,4,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,4,Ninguna en especial,6,Regular,Bajo,Moderado
22/4/2026 13:53:07,Grupo 5,"Arica Reyes, Ady Gabriela",Masculino,22,55,1.65,Ingeniería Civil,10,2,2,16,Quinto,4,No realizo actividad fisica,,,,,,,7,18,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,4,Muy mala,Bajo,Muy alto
22/4/2026 13:57:34,Grupo 2,"Collazos Solís, Maxwell Lupo Gregorio",Femenino,20,58,157,Ciencias de la Computación,3,6,4,12.5,Tercio inferior,1,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,1,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",25,18,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Baja en carbohidratos,6,Mala,Muy alto,Moderado
22/4/2026 14:02:30,Grupo 5,"Arica Reyes, Ady Gabriela",Femenino,22,50,155,Ingeniería Ambiental,9,6,6,16.57,Tercio,4,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Colectiva,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Mañana,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",4,30,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,"Bebidas rehidratantes, Ninguno",5,Alta en proteínas,6,Regular,Moderado,Moderado
22/4/2026 14:03:10,Grupo 5,"Reyes Neyra, Mariel Azucena",Masculino,18,54,174,Sistemas de la Información,3,6,6,15.85,Tercio medio,4,Artes marciales / Deportes de contacto,En instalaciones de la universidad,Colectiva,2,Alto: Me faltaba el aliento rápido y apenas podía decir unas pocas palabras sin parar a tomar aire.,Tarde,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",30,6,Bajo: Me distraigo con facilidad y me cuesta mantener la atención durante el estudio.,"Proteína en polvo (Whey, Vegana, Caseína)",3,Alta en proteínas,8,Buena,Moderado,Bajo
22/4/2026 14:06:27,Grupo 5,"Arica Reyes, Ady Gabriela",Masculino,21,86,184,Ingeniería Civil,10,4,4,15.36,Tercio,5,"Entrenamiento en casa (Calistenia, Yoga, rutinas por video)",En casa,Individual,4,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Baja: Fui muy irregular, entrenando solo ocasionalmente.",15,7,"Medio: Logro concentrarme por períodos moderados, pero presento algunas distracciones.",Ninguno,3,Ninguna en especial,7,Regular,Moderado,Alto
22/4/2026 14:08:26,Grupo 5,"Arica Reyes, Ady Gabriela",Femenino,22,56,158,Ingeniería Mecánica,9,4,4,18,Décimo,50,"Deportes aeróbicos (Correr, Nadar, Ciclismo)","En espacios públicos (parques, canchas, piscinas, etc.)",Individual,2,"Moderado: Podía hablar en frases cortas, pero me agitaba un poco y necesitaba respirar.",Noche,"Media: Tuve constancia por algunas semanas, pero con interrupciones frecuentes.",10,5,Alto: Mantengo la concentración durante la mayor parte del tiempo sin distracciones significativas.,Bebidas rehidratantes,4,Ninguna en especial,7,Buena,Alto,Alto
